Description,Part Number,Material Charge
Sliding Wire Baskets W/Slide 18X11X14 Polished Chrome,30084-1,19.65
Tie Rack W/Slide Al Chr Pol/Bl Pl 14 1/8,30071,15.06
Tie Rack W/Slide Al Dk Oil-Rub.Bzd/Bl Pl 14 1/8,30072,15.94
Tie Rack W/Slide Al Ni Matt/Bl Pl 14 1/8,30073,15.06
Wardrobe Lift 26Lbs St Chr/Pl Bl 20 1/16,30074,38.92
Wardrobe Lift 26Lbs St Chr/Pl Bl 26,30075,39.536
Wardrobe Lift 26Lbs St Chr/Pl Bl 35 1/16,30076,40.184
Wardrobe Tube Al Ni Matt 1 5/16,30077,10.824
Wardrobe Tube Alu. Chr Pol. 1 5/16,30078,10.82
Wardrobe Tube Alu. Oil Rubbed Bzd 1 5/16,30079,12.952
Wardrobe Tube Support Zn Ni Matt F/1 5/16,30080,1.73
Wardrobe Tube Support Zn. Chr Pol. For 1 5/16,30081,1.728
Wardrobe Tube Support Zn. Oil- Rubbed Bzd For 1 5/16,30082,1.992
