Description,Bridge Item,Part Number,W,L,Color,Edge,Material Charge,Total Charge
"Deck,12 x 46.5 w/HARDROCK MAPLE Edge",WXL Deck,800201,12,,WHITE,HARDROCK MAPLE,9.69
"Deck,12 x 46.5 w/White Edge",WXL Deck,820201,12,,WHITE,WHITE,11.76
"Deck,12 x 46.5 w/Windswept WINDSWEPT BRONZE Edge",WXL Deck,810201,12,,WHITE,WINDSWEPT BRONZE,9.69
"Deck,12 x 46.5 w/Windswept WINDSWEPT PEWTER Edge",WXL Deck,830201,12,,WHITE,WINDSWEPT PEWTER,9.69
"Deck,16 x 22.5 w/HARDROCK MAPLE Edge",WXL Deck,800202,16,,WHITE,HARDROCK MAPLE,6.08
"Deck,16 x 22.5 w/White Edge",WXL Deck,820202,16,,WHITE,WHITE,6.08
"Deck,16 x 22.5 w/Windswept WINDSWEPT BRONZE Edge",WXL Deck,810202,16,,WHITE,WINDSWEPT BRONZE,6.08
"Deck,16 x 22.5 w/Windswept WINDSWEPT PEWTER Edge",WXL Deck,830202,16,,WHITE,WINDSWEPT PEWTER,6.08
"Deck,16 x 46.5 w/HARDROCK MAPLE Edge",WXL Deck,800203,16,,WHITE,HARDROCK MAPLE,11.92
"Deck,16 x 46.5 w/White Edge",WXL Deck,820203,16,,WHITE,WHITE,11.92
"Deck,16 x 46.5 w/Windswept WINDSWEPT BRONZE Edge",WXL Deck,810203,16,,WHITE,WINDSWEPT BRONZE,11.92
"Deck,16 x 46.5 w/Windswept WINDSWEPT PEWTER Edge",WXL Deck,830203,16,,WHITE,WINDSWEPT PEWTER,11.92
"Deck,20 x 22.5 w/HARDROCK MAPLE Edge",WXL Deck,800208,20,,WHITE,HARDROCK MAPLE,7.54
"Deck,20 x 22.5 w/White Edge",WXL Deck,820208,20,,WHITE,WHITE,7.54
"Deck,20 x 22.5 w/Windswept WINDSWEPT BRONZE Edge",WXL Deck,810208,20,,WHITE,WINDSWEPT BRONZE,7.54
"Deck,20 x 22.5 w/Windswept WINDSWEPT PEWTER Edge",WXL Deck,830208,20,,WHITE,WINDSWEPT PEWTER,7.54
"Deck,20 x 46.5 w/HARDROCK MAPLE Edge",WXL Deck,800209,20,,WHITE,HARDROCK MAPLE,14.75
"Deck,20 x 46.5 w/White Edge",WXL Deck,820209,20,,WHITE,WHITE,14.78
"Deck,20 x 46.5 w/Windswept WINDSWEPT BRONZE Edge",WXL Deck,810209,20,,WHITE,WINDSWEPT BRONZE,14.78
"Deck,20 x 46.5 w/Windswept WINDSWEPT PEWTER Edge",WXL Deck,830209,20,,WHITE,WINDSWEPT PEWTER,14.78
"Deck,23 x 22.5 w/HARDROCK MAPLE Edge",WXL Deck,800204,23,,WHITE,HARDROCK MAPLE,8.78
"Deck,23 x 22.5 w/White Edge",WXL Deck,820204,23,,WHITE,WHITE,8.78
"Deck,23 x 22.5 w/Windswept WINDSWEPT BRONZE Edge",WXL Deck,810204,23,,WHITE,WINDSWEPT BRONZE,8.78
"Deck,23 x 22.5 w/Windswept WINDSWEPT PEWTER Edge",WXL Deck,830204,23,,WHITE,WINDSWEPT PEWTER,8.78
"Deck,23 x 46.5 w/HARDROCK MAPLE Edge",WXL Deck,800205,23,,WHITE,HARDROCK MAPLE,16.92
"Deck,23 x 46.5 w/White Edge",WXL Deck,820205,23,,WHITE,WHITE,16.92
"Deck,23 x 46.5 w/Windswept WINDSWEPT BRONZE Edge",WXL Deck,810205,23,,WHITE,WINDSWEPT BRONZE,16.92
"Deck,23 x 46.5 w/Windswept WINDSWEPT PEWTER Edge",WXL Deck,830205,23,,WHITE,WINDSWEPT PEWTER,16.92
"Door,23.875 x 23 Granite",Powder Coated Door,880300a,23.875,,,,17.56
"Door,23.875 x 23 HARDROCK MAPLE",WXL Door,800300,23.875,,HARDROCK MAPLE,HARDROCK MAPLE,10.48
