Description,Bridge Item,Part Number,W,L,Color,Edge,Material Charge,Total Charge
"Side,16 x 23.25 HARDROCK MAPLE",WXL Side Panel,800820,16,23.25,HARDROCK MAPLE,HARDROCK MAPLE,8.15
"Side,16 x 23.25 White",WXL Side Panel,820820,16,23.25,WHITE,WHITE,6.68
"Side,16 x 23.25 Windswept WINDSWEPT BRONZE",WXL Side Panel,810820,16,23.25,WINDSWEPT BRONZE,WINDSWEPT BRONZE,10.39
"Side,16 x 23.25 Windswept WINDSWEPT PEWTER",WXL Side Panel,830820,16,23.25,WINDSWEPT PEWTER,WINDSWEPT PEWTER,10.39
"Side,16 x 31 HARDROCK MAPLE",WXL Side Panel,800804,16,31,HARDROCK MAPLE,HARDROCK MAPLE,10.59
"Side,16 x 31 White",WXL Side Panel,820804,16,31,WHITE,WHITE,8.71
"Side,16 x 31 Windswept WINDSWEPT BRONZE",WXL Side Panel,810804,16,31,WINDSWEPT BRONZE,WINDSWEPT BRONZE,13.40
"Side,16 x 31 Windswept WINDSWEPT PEWTER",WXL Side Panel,830804,16,31,WINDSWEPT PEWTER,WINDSWEPT PEWTER,13.40
"Side,16 x 48 HARDROCK MAPLE",WXL Side Panel,800805,16,48,HARDROCK MAPLE,HARDROCK MAPLE,15.86
"Side,16 x 48 White",WXL Side Panel,820805,16,48,WHITE,WHITE,13.12
"Side,16 x 48 Windswept WINDSWEPT BRONZE",WXL Side Panel,810805,16,48,WINDSWEPT BRONZE,WINDSWEPT BRONZE,19.88
"Side,16 x 48 Windswept WINDSWEPT PEWTER",WXL Side Panel,830805,16,48,WINDSWEPT PEWTER,WINDSWEPT PEWTER,19.88
"Side,16 x 72 HARDROCK MAPLE",WXL Side Panel,800806,16,72,HARDROCK MAPLE,HARDROCK MAPLE,20.57
"Side,16 x 72 White",WXL Side Panel,820806,16,72,WHITE,WHITE,17.09
"Side,16 x 72 Windswept WINDSWEPT BRONZE",WXL Side Panel,810806,16,72,WINDSWEPT BRONZE,WINDSWEPT BRONZE,25.60
"Side,16 x 72 Windswept WINDSWEPT PEWTER",WXL Side Panel,830806,16,72,WINDSWEPT PEWTER,WINDSWEPT PEWTER,25.60
"Side,16 x 78 HARDROCK MAPLE",WXL Side Panel,800807,16,78,HARDROCK MAPLE,HARDROCK MAPLE,22.25
"Side,16 x 78 White",WXL Side Panel,820807,16,78,WHITE,WHITE,18.50
"Side,16 x 78 Windswept WINDSWEPT BRONZE",WXL Side Panel,810807,16,78,WINDSWEPT BRONZE,WINDSWEPT BRONZE,25.93
"Side,16 x 78 Windswept WINDSWEPT PEWTER",WXL Side Panel,830807,16,78,WINDSWEPT PEWTER,WINDSWEPT PEWTER,25.93
"Side,16 x 84 HARDROCK MAPLE",WXL Side Panel,800808,16,84,HARDROCK MAPLE,HARDROCK MAPLE,23.93
"Side,16 x 84 White",WXL Side Panel,820808,16,84,WHITE,WHITE,19.91
"Side,16 x 84 Windswept WINDSWEPT BRONZE",WXL Side Panel,810808,16,84,WINDSWEPT BRONZE,WINDSWEPT BRONZE,29.74
"Side,16 x 84 Windswept WINDSWEPT PEWTER",WXL Side Panel,830808,16,84,WINDSWEPT PEWTER,WINDSWEPT PEWTER,29.74
"Side,16 x 90 HARDROCK MAPLE",WXL Side Panel,800809,16,90,HARDROCK MAPLE,HARDROCK MAPLE,25.61
"Side,16 x 90 White",WXL Side Panel,820809,16,90,WHITE,WHITE,21.31
"Side,16 x 90 Windswept WINDSWEPT BRONZE",WXL Side Panel,810809,16,90,WINDSWEPT BRONZE,WINDSWEPT BRONZE,31.81
"Side,16 x 90 Windswept WINDSWEPT PEWTER",WXL Side Panel,830809,16,90,WINDSWEPT PEWTER,WINDSWEPT PEWTER,31.81
"Side,20 x 23.25 HARDROCK MAPLE",WXL Side Panel,800822,20,23.25,HARDROCK MAPLE,HARDROCK MAPLE,10.10
"Side,20 x 23.25 White",WXL Side Panel,820822,20,23.25,WHITE,WHITE,8.30
"Side,20 x 23.25 Windswept WINDSWEPT BRONZE",WXL Side Panel,810822,20,23.25,WINDSWEPT BRONZE,WINDSWEPT BRONZE,12.81
"Side,20 x 23.25 Windswept WINDSWEPT PEWTER",WXL Side Panel,830822,20,23.25,WINDSWEPT PEWTER,WINDSWEPT PEWTER,12.18
"Side,20 x 31 HARDROCK MAPLE",WXL Side Panel,800823,20,31,HARDROCK MAPLE,HARDROCK MAPLE,13.12
"Side,20 x 31 White",WXL Side Panel,820823,20,31,WHITE,WHITE,10.83
"Side,20 x 31 Windswept WINDSWEPT BRONZE",WXL Side Panel,810823,20,31,WINDSWEPT BRONZE,WINDSWEPT BRONZE,16.53
"Side,20 x 31 Windswept WINDSWEPT PEWTER",WXL Side Panel,830823,20,31,WINDSWEPT PEWTER,WINDSWEPT PEWTER,16.53
"Side,20 x 48 HARDROCK MAPLE",WXL Side Panel,800824,20,48,HARDROCK MAPLE,HARDROCK MAPLE,17.20
"Side,20 x 48 White",WXL Side Panel,820824,20,48,WHITE,WHITE,14.28
"Side,20 x 48 Windswept WINDSWEPT BRONZE",WXL Side Panel,810824,20,48,WINDSWEPT BRONZE,WINDSWEPT BRONZE,21.46
"Side,20 x 48 Windswept WINDSWEPT PEWTER",WXL Side Panel,830824,20,48,WINDSWEPT PEWTER,WINDSWEPT PEWTER,21.46
"Side,20 x 72 HARDROCK MAPLE",WXL Side Panel,800825,20,72,HARDROCK MAPLE,HARDROCK MAPLE,21.44
"Side,20 x 72 White",WXL Side Panel,820825,20,72,WHITE,WHITE,17.86
"Side,20 x 72 Windswept WINDSWEPT BRONZE",WXL Side Panel,810825,20,72,WINDSWEPT BRONZE,WINDSWEPT BRONZE,26.57
"Side,20 x 72 Windswept WINDSWEPT PEWTER",WXL Side Panel,830825,20,72,WINDSWEPT PEWTER,WINDSWEPT PEWTER,26.57
"Side,20 x 78 HARDROCK MAPLE",WXL Side Panel,800826,20,78,HARDROCK MAPLE,HARDROCK MAPLE,23.20
"Side,20 x 78 White",WXL Side Panel,820826,20,78,WHITE,WHITE,19.33
"Side,20 x 78 Windswept WINDSWEPT BRONZE",WXL Side Panel,810826,20,78,WINDSWEPT BRONZE,WINDSWEPT BRONZE,28.72
"Side,20 x 78 Windswept WINDSWEPT PEWTER",WXL Side Panel,830826,20,78,WINDSWEPT PEWTER,WINDSWEPT PEWTER,28.72
"Side,20 x 84 HARDROCK MAPLE",WXL Side Panel,800827,20,84,HARDROCK MAPLE,HARDROCK MAPLE,24.95
"Side,20 x 84 White",WXL Side Panel,820827,20,84,WHITE,WHITE,20.80
"Side,20 x 84 Windswept WINDSWEPT BRONZE",WXL Side Panel,810827,20,84,WINDSWEPT BRONZE,WINDSWEPT BRONZE,30.87
"Side,20 x 84 Windswept WINDSWEPT PEWTER",WXL Side Panel,830827,20,84,WINDSWEPT PEWTER,WINDSWEPT PEWTER,30.87
"Side,20 x 90 HARDROCK MAPLE",WXL Side Panel,800828,20,90,HARDROCK MAPLE,HARDROCK MAPLE,26.70
"Side,20 x 90 White",WXL Side Panel,820828,20,90,WHITE,WHITE,22.28
"Side,20 x 90 Windswept WINDSWEPT BRONZE",WXL Side Panel,810828,20,90,WINDSWEPT BRONZE,WINDSWEPT BRONZE,33.01
"Side,20 x 90 Windswept WINDSWEPT PEWTER",WXL Side Panel,830828,20,90,WINDSWEPT PEWTER,WINDSWEPT PEWTER,33.01
"Side,23 x 23.25 HARDROCK MAPLE",WXL Side Panel,800821,23,23.25,HARDROCK MAPLE,HARDROCK MAPLE,11.56
"Side,23 x 23.25 White",WXL Side Panel,820821,23,23.25,WHITE,WHITE,11.56
"Side,23 x 23.25 Windswept WINDSWEPT BRONZE",WXL Side Panel,810821,23,23.25,WINDSWEPT BRONZE,WINDSWEPT BRONZE,14.63
"Side,23 x 23.25 Windswept WINDSWEPT PEWTER",WXL Side Panel,830821,23,23.25,WINDSWEPT PEWTER,WINDSWEPT PEWTER,14.63
"Side,23 x 31 HARDROCK MAPLE",WXL Side Panel,800812,23,31,HARDROCK MAPLE,HARDROCK MAPLE,15.03
"Side,23 x 31 White",WXL Side Panel,820812,23,31,WHITE,WHITE,12.42
"Side,23 x 31 Windswept WINDSWEPT BRONZE",WXL Side Panel,810812,23,31,WINDSWEPT BRONZE,WINDSWEPT BRONZE,18.87
"Side,23 x 31 Windswept WINDSWEPT PEWTER",WXL Side Panel,830812,23,31,WINDSWEPT PEWTER,WINDSWEPT PEWTER,18.87
"Side,23 x 48 HARDROCK MAPLE",WXL Side Panel,800813,23,48,HARDROCK MAPLE,HARDROCK MAPLE,16.16
"Side,23 x 48 White",WXL Side Panel,820813,23,48,WHITE,WHITE,18.71
"Side,23 x 48 Windswept WINDSWEPT BRONZE",WXL Side Panel,810813,23,48,WINDSWEPT BRONZE,WINDSWEPT BRONZE,20.11
"Side,23 x 48 Windswept WINDSWEPT PEWTER",WXL Side Panel,830813,23,48,WINDSWEPT PEWTER,WINDSWEPT PEWTER,20.11
"Side,23 x 72 HARDROCK MAPLE",WXL Side Panel,800814,23,72,HARDROCK MAPLE,HARDROCK MAPLE,21.79
"Side,23 x 72 White",WXL Side Panel,820814,23,72,WHITE,WHITE,18.17
"Side,23 x 72 Windswept WINDSWEPT BRONZE",WXL Side Panel,810814,23,72,WINDSWEPT BRONZE,WINDSWEPT BRONZE,26.95
"Side,23 x 72 Windswept WINDSWEPT PEWTER",WXL Side Panel,830814,23,72,WINDSWEPT PEWTER,WINDSWEPT PEWTER,26.95
"Side,23 x 78 HARDROCK MAPLE",WXL Side Panel,800815,23,78,HARDROCK MAPLE,HARDROCK MAPLE,23.57
"Side,23 x 78 White",WXL Side Panel,820815,23,78,WHITE,WHITE,19.66
"Side,23 x 78 Windswept WINDSWEPT BRONZE",WXL Side Panel,810815,23,78,WINDSWEPT BRONZE,WINDSWEPT BRONZE,29.13
"Side,23 x 78 Windswept WINDSWEPT PEWTER",WXL Side Panel,830815,23,78,WINDSWEPT PEWTER,WINDSWEPT PEWTER,29.13
"Side,23 x 84 HARDROCK MAPLE",WXL Side Panel,800816,23,84,HARDROCK MAPLE,HARDROCK MAPLE,25.35
"Side,23 x 84 White",WXL Side Panel,820816,23,84,WHITE,WHITE,21.16
"Side,23 x 84 Windswept WINDSWEPT BRONZE",WXL Side Panel,810816,23,84,WINDSWEPT BRONZE,WINDSWEPT BRONZE,31.31
"Side,23 x 84 Windswept WINDSWEPT PEWTER",WXL Side Panel,830816,23,84,WINDSWEPT PEWTER,WINDSWEPT PEWTER,31.31
"Side,23 x 90 HARDROCK MAPLE",WXL Side Panel,800817,23,90,HARDROCK MAPLE,HARDROCK MAPLE,27.13
"Side,23 x 90 White",WXL Side Panel,820817,23,90,WHITE,WHITE,22.66
"Side,23 x 90 Windswept WINDSWEPT BRONZE",WXL Side Panel,810817,23,90,WINDSWEPT BRONZE,WINDSWEPT BRONZE,33.49
"Side,23 x 90 Windswept WINDSWEPT PEWTER",WXL Side Panel,830817,23,90,WINDSWEPT PEWTER,WINDSWEPT PEWTER,33.49
"Stretcher,3 x 22.5 w/HARDROCK MAPLE Edge",ZZ HOp Stretcher DON'T DELETE,801001,22.5,3,WHITE,HARDROCK MAPLE,2.21
"Stretcher,3 x 22.5 w/Windswept WINDSWEPT BRONZE Edge",ZZ HOp Stretcher DON'T DELETE,811001,22.5,3,WHITE,WINDSWEPT BRONZE,2.21
"Stretcher,3 x 22.5 w/Windswept WINDSWEPT PEWTER Edge",ZZ HOp Stretcher DON'T DELETE,831001,22.5,3,WHITE,WINDSWEPT PEWTER,2.21
"Stretcher,3 x 22.5 White",ZZ HOp Stretcher DON'T DELETE,821001,22.5,3,WHITE,WHITE,2.21
"Workbench,120 x 19 - Closed",NX Workbench Top (Finished Ends),890241,120,19,,,210.00
"Workbench,120 x 19 - Open",NX Workbench Top (Finished Ends),890242,120,19,,,210.00
"Workbench,120 x 26 - Closed",NX Workbench Top (Finished Ends),890243,120,26,,,210.00
"Workbench,120 x 26 - Open",NX Workbench Top (Finished Ends),890244,120,26,,,210.00
"Workbench,24 x 19 Closed",NX Workbench Top (Finished Ends),890201,24,19,,,73.50
"Workbench,24 x 19 Open",NX Workbench Top (Finished Ends),890202,24,19,,,73.50
"Workbench,24 x 26 - Closed",NX Workbench Top (Finished Ends),890203,24,26,,,73.50
"Workbench,24 x 26 Open",NX Workbench Top (Finished Ends),890204,24,26,,,73.50
"Workbench,48 x 19 Closed",NX Workbench Top (Finished Ends),890211,48,19,,,94.50
"Workbench,48 x 19 Open",NX Workbench Top (Finished Ends),890212,48,19,,,94.50
"Workbench,48 x 26 Closed",NX Workbench Top (Finished Ends),890213,48,26,,,94.50
"Workbench,48 x 26 Open",NX Workbench Top (Finished Ends),890214,48,26,,,94.50
"Workbench,72 x 19 - Open",NX Workbench Top (Finished Ends),890222,72,19,,,126.00
"Workbench,72 x 19 Closed",NX Workbench Top (Finished Ends),890221,72,19,,,126.00
"Workbench,72 x 26 - Closed",NX Workbench Top (Finished Ends),890223,72,26,,,126.00
"Workbench,72 x 26 - Open",NX Workbench Top (Finished Ends),890224,72,26,,,126.00
"Workbench,96 x 19 - Closed",NX Workbench Top (Finished Ends),890231,96,19,,,152.25
"Workbench,96 x 19 - Open",NX Workbench Top (Finished Ends),890232,96,19,,,152.25
"Workbench,96 x 26 - Closed",NX Workbench Top (Finished Ends),890233,96,26,,,152.25
"Workbench,96 x 26 - Open",NX Workbench Top (Finished Ends),890234,96,26,,,152.25
"Workbench,ButcherBlock 121 x 25",CTOP - Butcher Block,890005,121,25,,,577.50
"Workbench,ButcherBlock 24 x 25",CTOP - Butcher Block,890001,24,25,,,100.93
"Workbench,ButcherBlock 48 x 25",CTOP - Butcher Block,890002,48,25,,,210.00
"Workbench,ButcherBlock 72 x 25",CTOP - Butcher Block,890003,72,25,,,288.75
"Workbench,ButcherBlock 97 x 25",CTOP - Butcher Block,890004,97,25,,,414.75
"Workbench,PremierGarage Stainless 120 X 25",PG Stainless Workbench 120 X 25,890104,120,25,,,495.00
"Workbench,PremierGarage Stainless 24 X 25",PG Stainless Workbench 24 X 25,890100,24,25,,,132.00
"Workbench,PremierGarage Stainless 48 X 25",PG Stainless Workbench 48 X 25,890101,48,25,,,242.00
"Workbench,PremierGarage Stainless 72 X 25",PG Stainless Workbench 72 X 25,890102,72,25,,,330.00
"Workbench,PremierGarage Stainless 96 X 25",PG Stainless Workbench 96 X 25,890103,96,25,,,396.00
