PartID	CatalogID	PartString	Description	Quantity	 Price 	Labor	LowesID	HomeDepotID	SuppressInBom	BulkPriced	HideInBom	SpecialFlags	Weight	Image
100000655	4	000.402.000.004.00M	Corner Countertop 3/4 in. | CARMEL APPLE	1	90	0.16			FALSE	FALSE	0	"CutV,CutD"		100000553
100000656	4	000.502.000.004.00M	Corner Countertop 1 in. | CARMEL APPLE	1	10				FALSE	FALSE	0	"CutV,CutD"		100000554
100000685	4	000.301.000.005.00P	Decor Crown Molding - 423 | WILD APPLE	1	6.3				FALSE	TRUE	0	"CutV:UNCUTLENGTH,BULKLEN:96"		100000549
100000686	4	000.302.000.005.00P	Decor Crown Molding - 424 | WILD APPLE	1	7.08				FALSE	TRUE	0	"CutV:UNCUTLENGTH,BULKLEN:96"		100000550
100000687	4	000.401.000.005.00M	Countertop 3/4 in. | WILD APPLE	1	10	0.03			FALSE	TRUE	0	"CutV:UNCUTLENGTH,CutD,BULKLEN:96"		100000551
100000688	4	000.501.000.005.00M	Countertop 1 in. | WILD APPLE	1	10				FALSE	TRUE	0	"CutV:UNCUTLENGTH,CutD,BULKLEN:96"		100000552
100000689	4	000.402.000.005.00M	Corner Countertop 3/4 in. | WILD APPLE	1	90	0.16			FALSE	FALSE	0	"CutV,CutD"		100000553
100000690	4	000.502.000.005.00M	Corner Countertop 1 in. | WILD APPLE	1	10				FALSE	FALSE	0	"CutV,CutD"		100000554
100000719	4	000.301.000.006.00P	Decor Crown Molding - 423 | MAHOGANY IMPRESSIONS	1	6.3				FALSE	TRUE	0	"CutV:UNCUTLENGTH,BULKLEN:96"		100000549
100000720	4	000.302.000.006.00P	Decor Crown Molding - 424 | MAHOGANY IMPRESSIONS	1	7.08				FALSE	TRUE	0	"CutV:UNCUTLENGTH,BULKLEN:96"		100000550
100000721	4	000.401.000.006.00M	Countertop 3/4 in. | MAHOGANY IMPRESSIONS	1	10	0.03			FALSE	TRUE	0	"CutV:UNCUTLENGTH,CutD,BULKLEN:96"		100000551
100000722	4	000.501.000.006.00M	Countertop 1 in. | MAHOGANY IMPRESSIONS	1	10				FALSE	TRUE	0	"CutV:UNCUTLENGTH,CutD,BULKLEN:96"		100000552
100000723	4	000.402.000.006.00M	Corner Countertop 3/4 in. | MAHOGANY IMPRESSIONS	1	90	0.16			FALSE	FALSE	0	"CutV,CutD"		100000553
100000724	4	000.502.000.006.00M	Corner Countertop 1 in. | MAHOGANY IMPRESSIONS	1	10				FALSE	FALSE	0	"CutV,CutD"		100000554
100000753	4	000.301.000.007.00P	Decor Crown Molding - 423 | CHOCOLATE APPLE	1	6.3				FALSE	TRUE	0	"CutV:UNCUTLENGTH,BULKLEN:96"		100000549
100000754	4	000.302.000.007.00P	Decor Crown Molding - 424 | CHOCOLATE APPLE	1	7.08				FALSE	TRUE	0	"CutV:UNCUTLENGTH,BULKLEN:96"		100000550
100000755	4	000.401.000.007.00M	Countertop 3/4 in. | CHOCOLATE APPLE	1	10	0.03			FALSE	TRUE	0	"CutV:UNCUTLENGTH,CutD,BULKLEN:96"		100000551
100000756	4	000.501.000.007.00M	Countertop 1 in. | CHOCOLATE APPLE	1	10				FALSE	TRUE	0	"CutV:UNCUTLENGTH,CutD,BULKLEN:96"		100000552
100000757	4	000.402.000.007.00M	Corner Countertop 3/4 in. | CHOCOLATE APPLE	1	90	0.16			FALSE	FALSE	0	"CutV,CutD"		100000553
100000758	4	000.502.000.007.00M	Corner Countertop 1 in. | CHOCOLATE APPLE	1	90				FALSE	FALSE	0	"CutV,CutD"		100000554
100000832	4	000.912.270.001.00M	Upright Partition - BaseNotch - Thru | WHITE	1	38.93	0.045			FALSE	FALSE	0	"CutH,CutD"	22	100000832
100000833	4	000.912.170.001.00M	Upright Partition - BaseNotch - Left | WHITE	1	37.73	0.045			FALSE	FALSE	0	"CutH,CutD"	22	100000832
100000834	4	000.912.370.001.00M	Upright Partition - BaseNotch - Right | WHITE	1	37.73	0.045			FALSE	FALSE	0	"CutH,CutD"	22	100000832
100000835	4	000.912.280.001.00M	Upright Partition - BaseNotch - Thru | WHITE	1	43.5	0.045			FALSE	FALSE	0	"CutH,CutD"	25	100000832
100000836	4	000.912.180.001.00M	Upright Partition - BaseNotch - Left | WHITE	1	42.15	0.045			FALSE	FALSE	0	"CutH,CutD"	25	100000832
100000837	4	000.912.380.001.00M	Upright Partition - BaseNotch - Right | WHITE	1	42.15	0.045			FALSE	FALSE	0	"CutH,CutD"	25	100000832
100000838	4	000.912.271.001.00M	Upright Partition - BaseNotch - Thru | WHITE	1	45.2	0.045			FALSE	FALSE	0	"CutH,CutD"	26	100000832
100000839	4	000.912.171.001.00M	Upright Partition - BaseNotch - Left | WHITE	1	43.8	0.045			FALSE	FALSE	0	"CutH,CutD"	26	100000832
100000840	4	000.912.371.001.00M	Upright Partition - BaseNotch - Right | WHITE	1	43.8	0.045			FALSE	FALSE	0	"CutH,CutD"	26	100000832
100000841	4	000.912.281.001.00M	Upright Partition - BaseNotch - Thru | WHITE	1	50.53	0.045			FALSE	FALSE	0	"CutH,CutD"	29	100000832
100000842	4	000.912.181.001.00M	Upright Partition - BaseNotch - Left | WHITE	1	48.95	0.045			FALSE	FALSE	0	"CutH,CutD"	29	100000832
100000843	4	000.912.381.001.00M	Upright Partition - BaseNotch - Right | WHITE	1	48.95	0.045			FALSE	FALSE	0	"CutH,CutD"	29	100000832
100000844	4	000.912.272.001.00M	Upright Partition - BaseNotch - Thru | WHITE	1	51.48	0.045			FALSE	FALSE	0	"CutH,CutD"	29	100000832
100000845	4	000.912.172.001.00M	Upright Partition - BaseNotch - Left | WHITE	1	49.9	0.045			FALSE	FALSE	0	"CutH,CutD"	29	100000832
100000846	4	000.912.372.001.00M	Upright Partition - BaseNotch - Right | WHITE	1	49.9	0.045			FALSE	FALSE	0	"CutH,CutD"	29	100000832
100000847	4	000.912.282.001.00M	Upright Partition - BaseNotch - Thru | WHITE	1	57.55	0.045			FALSE	FALSE	0	"CutH,CutD"	33	100000832
100000848	4	000.912.182.001.00M	Upright Partition - BaseNotch - Left | WHITE	1	55.75	0.045			FALSE	FALSE	0	"CutH,CutD"	33	100000832
100000849	4	000.912.382.001.00M	Upright Partition - BaseNotch - Right | WHITE	1	55.75	0.045			FALSE	FALSE	0	"CutH,CutD"	33	100000832
100000850	4	000.912.273.001.00M	Upright Partition - BaseNotch - Thru | WHITE	1	64.05	0.045			FALSE	FALSE	0	"CutH,CutD"	36	100000832
100000851	4	000.912.173.001.00M	Upright Partition - BaseNotch - Left | WHITE	1	62.08	0.045			FALSE	FALSE	0	"CutH,CutD"	36	100000832
100000852	4	000.912.373.001.00M	Upright Partition - BaseNotch - Right | WHITE	1	62.08	0.045			FALSE	FALSE	0	"CutH,CutD"	36	100000832
100000853	4	000.912.283.001.00M	Upright Partition - BaseNotch - Thru | WHITE	1	71.58	0.045			FALSE	FALSE	0	"CutH,CutD"	41	100000832
100000854	4	000.912.183.001.00M	Upright Partition - BaseNotch - Left | WHITE	1	69.38	0.045			FALSE	FALSE	0	"CutH,CutD"	41	100000832
100000855	4	000.912.383.001.00M	Upright Partition - BaseNotch - Right | WHITE	1	69.38	0.045			FALSE	FALSE	0	"CutH,CutD"	41	100000832
100000856	4	000.912.274.001.00M	Upright Partition - BaseNotch - Thru | WHITE	1	76.63	0.045			FALSE	FALSE	0	"CutH,CutD"	43	100000832
100000857	4	000.912.174.001.00M	Upright Partition - BaseNotch - Left | WHITE	1	74.25	0.045			FALSE	FALSE	0	"CutH,CutD"	43	100000832
100000858	4	000.912.374.001.00M	Upright Partition - BaseNotch - Right | WHITE	1	74.25	0.045			FALSE	FALSE	0	"CutH,CutD"	43	100000832
100000859	4	000.912.284.001.00M	Upright Partition - BaseNotch - Thru | WHITE	1	85.63	0.045			FALSE	FALSE	0	"CutH,CutD"	49	100000832
100000860	4	000.912.184.001.00M	Upright Partition - BaseNotch - Left | WHITE	1	82.98	0.045			FALSE	FALSE	0	"CutH,CutD"	49	100000832
100000861	4	000.912.384.001.00M	Upright Partition - BaseNotch - Right | WHITE	1	82.98	0.045			FALSE	FALSE	0	"CutH,CutD"	49	100000832
100000862	4	000.911.270.001.00M	Upright Partition - Thru | WHITE	1	38.73	0.045			FALSE	FALSE	0	"CutH,CutD"	22	100000862
100000863	4	000.911.170.001.00M	Upright Partition - Left | WHITE	1	37.53	0.045			FALSE	FALSE	0	"CutH,CutD"	22	100000862
100000864	4	000.911.370.001.00M	Upright Partition - Right | WHITE	1	37.53	0.045			FALSE	FALSE	0	"CutH,CutD"	22	100000862
100000865	4	000.911.280.001.00M	Upright Partition - Thru | WHITE	1	43.28	0.045			FALSE	FALSE	0	"CutH,CutD"	25	100000862
100000866	4	000.911.180.001.00M	Upright Partition - Left | WHITE	1	41.93	0.045			FALSE	FALSE	0	"CutH,CutD"	25	100000862
100000867	4	000.911.380.001.00M	Upright Partition - Right | WHITE	1	41.93	0.045			FALSE	FALSE	0	"CutH,CutD"	25	100000862
100000868	4	000.911.271.001.00M	Upright Partition - Thru | WHITE	1	44.98	0.045			FALSE	FALSE	0	"CutH,CutD"	26	100000862
100000869	4	000.911.171.001.00M	Upright Partition - Left | WHITE	1	43.58	0.045			FALSE	FALSE	0	"CutH,CutD"	26	100000862
100000870	4	000.911.371.001.00M	Upright Partition - Right | WHITE	1	43.58	0.045			FALSE	FALSE	0	"CutH,CutD"	26	100000862
100000871	4	000.911.281.001.00M	Upright Partition - Thru | WHITE	1	50.25	0.045			FALSE	FALSE	0	"CutH,CutD"	29	100000862
100000872	4	000.911.181.001.00M	Upright Partition - Left | WHITE	1	48.7	0.045			FALSE	FALSE	0	"CutH,CutD"	29	100000862
100000873	4	000.911.381.001.00M	Upright Partition - Right | WHITE	1	48.7	0.045			FALSE	FALSE	0	"CutH,CutD"	29	100000862
100000874	4	000.911.272.001.00M	Upright Partition - Thru | WHITE	1	51.23	0.045			FALSE	FALSE	0	"CutH,CutD"	29	100000862
100000875	4	000.911.172.001.00M	Upright Partition - Left | WHITE	1	49.63	0.045			FALSE	FALSE	0	"CutH,CutD"	29	100000862
100000876	4	000.911.372.001.00M	Upright Partition - Right | WHITE	1	49.63	0.045			FALSE	FALSE	0	"CutH,CutD"	29	100000862
100000877	4	000.911.282.001.00M	Upright Partition - Thru | WHITE	1	57.23	0.045			FALSE	FALSE	0	"CutH,CutD"	33	100000862
100000878	4	000.911.182.001.00M	Upright Partition - Left | WHITE	1	55.48	0.045			FALSE	FALSE	0	"CutH,CutD"	33	100000862
100000879	4	000.911.382.001.00M	Upright Partition - Right | WHITE	1	55.48	0.045			FALSE	FALSE	0	"CutH,CutD"	33	100000862
100000880	4	000.911.273.001.00M	Upright Partition - Thru | WHITE	1	63.7	0.045			FALSE	FALSE	0	"CutH,CutD"	36	100000862
100000881	4	000.911.173.001.00M	Upright Partition - Left | WHITE	1	61.75	0.045			FALSE	FALSE	0	"CutH,CutD"	36	100000862
100000882	4	000.911.373.001.00M	Upright Partition - Right | WHITE	1	61.75	0.045			FALSE	FALSE	0	"CutH,CutD"	36	100000862
100000883	4	000.911.283.001.00M	Upright Partition - Thru | WHITE	1	71.2	0.045			FALSE	FALSE	0	"CutH,CutD"	41	100000862
100000884	4	000.911.183.001.00M	Upright Partition - Left | WHITE	1	69.03	0.045			FALSE	FALSE	0	"CutH,CutD"	41	100000862
100000885	4	000.911.383.001.00M	Upright Partition - Right | WHITE	1	69.03	0.045			FALSE	FALSE	0	"CutH,CutD"	41	100000862
100000886	4	000.911.274.001.00M	Upright Partition - Thru | WHITE	1	76.2	0.045			FALSE	FALSE	0	"CutH,CutD"	43	100000862
100000887	4	000.911.174.001.00M	Upright Partition - Left | WHITE	1	73.88	0.045			FALSE	FALSE	0	"CutH,CutD"	43	100000862
100000888	4	000.911.374.001.00M	Upright Partition - Right | WHITE	1	73.88	0.045			FALSE	FALSE	0	"CutH,CutD"	43	100000862
100000889	4	000.911.284.001.00M	Upright Partition - Thru | WHITE	1	85.18	0.045			FALSE	FALSE	0	"CutH,CutD"	49	100000862
100000890	4	000.911.184.001.00M	Upright Partition - Left | WHITE	1	82.55	0.045			FALSE	FALSE	0	"CutH,CutD"	49	100000862
100000891	4	000.911.384.001.00M	Upright Partition - Right | WHITE	1	82.55	0.045			FALSE	FALSE	0	"CutH,CutD"	49	100000862
100000892	4	000.912.270.002.00M	Upright Partition - BaseNotch - Thru | ANTIQUE WHITE	1	46.71	0.045			FALSE	FALSE	0	"CutH,CutD"	22	100000832
100000893	4	000.912.170.002.00M	Upright Partition - BaseNotch - Left | ANTIQUE WHITE	1	45.27	0.045			FALSE	FALSE	0	"CutH,CutD"	22	100000832
100000894	4	000.912.370.002.00M	Upright Partition - BaseNotch - Right | ANTIQUE WHITE	1	45.27	0.045			FALSE	FALSE	0	"CutH,CutD"	22	100000832
100000895	4	000.912.280.002.00M	Upright Partition - BaseNotch - Thru | ANTIQUE WHITE	1	52.2	0.045			FALSE	FALSE	0	"CutH,CutD"	25	100000832
100000896	4	000.912.180.002.00M	Upright Partition - BaseNotch - Left | ANTIQUE WHITE	1	50.58	0.045			FALSE	FALSE	0	"CutH,CutD"	25	100000832
100000897	4	000.912.380.002.00M	Upright Partition - BaseNotch - Right | ANTIQUE WHITE	1	50.58	0.045			FALSE	FALSE	0	"CutH,CutD"	25	100000832
100000898	4	000.912.271.002.00M	Upright Partition - BaseNotch - Thru | ANTIQUE WHITE	1	54.24	0.045			FALSE	FALSE	0	"CutH,CutD"	26	100000832
100000899	4	000.912.171.002.00M	Upright Partition - BaseNotch - Left | ANTIQUE WHITE	1	52.56	0.045			FALSE	FALSE	0	"CutH,CutD"	26	100000832
100000900	4	000.912.371.002.00M	Upright Partition - BaseNotch - Right | ANTIQUE WHITE	1	52.56	0.045			FALSE	FALSE	0	"CutH,CutD"	26	100000832
100000901	4	000.912.281.002.00M	Upright Partition - BaseNotch - Thru | ANTIQUE WHITE	1	60.63	0.045			FALSE	FALSE	0	"CutH,CutD"	29	100000832
100000902	4	000.912.181.002.00M	Upright Partition - BaseNotch - Left | ANTIQUE WHITE	1	58.74	0.045			FALSE	FALSE	0	"CutH,CutD"	29	100000832
100000903	4	000.912.381.002.00M	Upright Partition - BaseNotch - Right | ANTIQUE WHITE	1	58.74	0.045			FALSE	FALSE	0	"CutH,CutD"	29	100000832
100000904	4	000.912.272.002.00M	Upright Partition - BaseNotch - Thru | ANTIQUE WHITE	1	61.77	0.045			FALSE	FALSE	0	"CutH,CutD"	29	100000832
100000905	4	000.912.172.002.00M	Upright Partition - BaseNotch - Left | ANTIQUE WHITE	1	59.88	0.045			FALSE	FALSE	0	"CutH,CutD"	29	100000832
100000906	4	000.912.372.002.00M	Upright Partition - BaseNotch - Right | ANTIQUE WHITE	1	59.88	0.045			FALSE	FALSE	0	"CutH,CutD"	29	100000832
100000907	4	000.912.282.002.00M	Upright Partition - BaseNotch - Thru | ANTIQUE WHITE	1	69.06	0.045			FALSE	FALSE	0	"CutH,CutD"	33	100000832
100000908	4	000.912.182.002.00M	Upright Partition - BaseNotch - Left | ANTIQUE WHITE	1	66.9	0.045			FALSE	FALSE	0	"CutH,CutD"	33	100000832
100000909	4	000.912.382.002.00M	Upright Partition - BaseNotch - Right | ANTIQUE WHITE	1	66.9	0.045			FALSE	FALSE	0	"CutH,CutD"	33	100000832
100000910	4	000.912.273.002.00M	Upright Partition - BaseNotch - Thru | ANTIQUE WHITE	1	76.86	0.045			FALSE	FALSE	0	"CutH,CutD"	36	100000832
100000911	4	000.912.173.002.00M	Upright Partition - BaseNotch - Left | ANTIQUE WHITE	1	74.49	0.045			FALSE	FALSE	0	"CutH,CutD"	36	100000832
