"Premium Door DRS131, White, Routed Drawer Front","DRS131, White-949T, Routed DF #131R",10.60,"sq.ft.","5.00","ea.",0.25,"ea.",9.25,"sq.ft.","10.00","ea.",0.25,"ea."
"Premium Door DRS131, White, Slab Drawer Front","DRS131, White-949T, Slab DF #131D",7.60,"sq.ft.","0.00","ea.",0.25,"ea.",9.25,"sq.ft.","0.00","ea.",0.25,"ea."
"Premium Door DRS131, White, Cut for Glass Door","DRS131, White-949T, Cut for Glass #131G",10.60,"sq.ft.","15.00","ea.",0.25,"ea.",13.25,"sq.ft.","15.00","ea.",0.25,"ea."
"Premium Door DRS131, White, French Lite Door","DRS131, White-949T, French Lite Door #131F",10.60,"sq.ft.","7.50","ea.",0.25,"ea.",13.25,"sq.ft.","7.50","ea.",0.25,"ea."
"Crown Molding, White, 3-3/4""","Crown Molding, White-949T, 3-3/4"", 423-8, #3003",14.50,"ea.","10.00","ea.",0.25,"ea.",16.10,"ea.","0.00","ea.",0.25,"ea."
"Crown Molding, White, 4-1/2""","Crown Molding, White-949T, 4-1/2"", 424-8, #3004",14.00,"ea.","10.00","ea.",0.25,"ea.",17.65,"ea.","0.00","ea.",0.25,"ea."
"Base Molding, White, 2-1/2""","Base Molding, White-949T, 2-1/2"", 426-8, #3007",9.30,"ea.","10.00","ea.",0.25,"ea.",10.30,"ea.","0.00","ea.",0.25,"ea."
"Scribe Molding, White, 1""","Scribe Molding, White-949T, 1"", 428-8, #3012",5.85,"ea.","10.00","ea.",0.25,"ea.",6.50,"ea.","0.00","ea.",0.25,"ea."
"Fluted Molding, White, 3-1/2""","Fluted Molding, White-949T, 3-1/2"", 431-8, #3013",18.85,"ea.","10.00","ea.",0.25,"ea.",20.95,"ea.","0.00","ea.",0.25,"ea."
"Filler A","Filler A, White-949T, 471, #3250",8.10,"ea.","0.00","ea.",10.00,"ea.",9.00,"ea.","0.00","ea.",0.25,"ea."
"Filler B","Filler A, White-949T, 472, #3251",8.10,"ea.","0.00","ea.",10.00,"ea.",9.00,"ea.","0.00","ea.",0.25,"ea."
"Filler C","Filler A, White-949T, 469, #3255",8.10,"ea.","15.00","ea.",10.00,"ea.",9.00,"ea.","15.00","ea.",0.25,"ea."
"Premium Door JR7, Antique White, Door","JR7, Antique White-ANWM, Door #727","10.45","sq.ft.","0.00","ea.",0.25,"ea.","12.75","sq.ft.","0.00","ea.",0.25,"ea."
"Premium Door JR7, Antique White, Routed Drawer Front","JR7, Antique White-ANWM, Routed DF #727R","10.45","sq.ft.","5.00","ea.",0.25,"ea.","10.25","sq.ft.","10.00","ea.",0.25,"ea."
"Premium Door JR7, Antique White, Slab Drawer Front","JR7, Antique White-ANWM, Slab DF #727D","8.40","sq.ft.","0.00","ea.",0.25,"ea.","10.25","sq.ft.","0.00","ea.",0.25,"ea."
"Premium Door JR7, Antique White, Cut for Glass Door","JR7, Antique White-ANWM, Cut for Glass #727G","10.45","sq.ft.","15.00","ea.",0.25,"ea.","12.75","sq.ft.","15.00","ea.",0.25,"ea."
"Premium Door JR7, Antique White, French Lite Door","JR7, Antique White-ANWM, French Lite Door #727F","10.45","sq.ft.","7.50","ea.",0.25,"ea.","12.75","sq.ft.","7.50","ea.",0.25,"ea."
"Premium Door DR1, Antique White, Door","DR1, Antique White-ANWM, Door #112","12.00","sq.ft.","0.00","ea.",0.25,"ea.","14.25","sq.ft.","0.00","ea.",0.25,"ea."
"Premium Door DR1, Antique White, Routed Drawer Front","DR1, Antique White-ANWM, Routed DF #112R","12.00","sq.ft.","5.00","ea.",0.25,"ea.","10.25","sq.ft.","10.00","ea.",0.25,"ea."
"Premium Door DR1, Antique White, Slab Drawer Front","DR1, Antique White-ANWM, Slab DF #112D","8.40","sq.ft.","0.00","ea.",0.25,"ea.","10.25","sq.ft.","0.00","ea.",0.25,"ea."
"Premium Door DR1, Antique White, Cut for Glass Door","DR1, Antique White-ANWM, Cut for Glass #112G","12.00","sq.ft.","15.00","ea.",0.25,"ea.","14.25","sq.ft.","15.00","ea.",0.25,"ea."
"Premium Door DR1, Antique White, French Lite Door","DR1, Antique White-ANWM, French Lite #112F","12.00","sq.ft.","7.50","ea.",0.25,"ea.","14.25","sq.ft.","7.50","ea.",0.25,"ea."
"Premium Door AMS329, Antique White, Door","AMS329, Antique White-ANWM, Door #329","14.10","sq.ft.","0.00","ea.",0.25,"ea.","17.20","sq.ft.","0.00","ea.",0.25,"ea."
"Premium Door AMS329, Antique White, Routed Drawer Front","AMS329, Antique White-ANWM, Routed DF #329R","14.10","sq.ft.","5.00","ea.",0.25,"ea.","17.20","sq.ft.","15.00","ea.",0.25,"ea."
"Premium Door AMS329, Antique White, Slab Drawer Front","AMS329, Antique White-ANWM, Slab DF #329D","8.40","sq.ft.","0.00","ea.",0.25,"ea.","10.25","sq.ft.","0.00","ea.",0.25,"ea."
"Premium Door AMS329, Antique White, Cut for Glass Door","AMS329, Antique White-ANWM, Cut for Glass #329G","14.10","sq.ft.","15.00","ea.",0.25,"ea.","17.20","sq.ft.","15.00","ea.",0.25,"ea."
"Premium Door AMS329, Antique White, French Lite Door","AMS329, Antique White-ANWM, French Lite Door #329F","14.10","sq.ft.","7.50","ea.",0.25,"ea.","17.20","sq.ft.","7.50","ea.",0.25,"ea."
"Premium Door KB732, Antique White, Door","KB732, Antique White-ANWM, Door #732","6.65","sq.ft.","0.00","ea.",0.25,"ea.","10.25","sq.ft.","0.00","ea.",0.25,"ea."
"Premium Door KB732, Antique White, Slab Drawer Front","KB732, Antique White-ANWM, Slab DF #732D","8.4","sq.ft.","0.00","ea.",0.25,"ea.","10.25","sq.ft.","0.00","ea.",0.25,"ea."
"Premium Door KB732, Antique White, Cut for Glass Door","KB732, Antique White-ANWM, Cut for Glass #732G","6.65","sq.ft.","15.00","ea.",0.25,"ea.","10.25","sq.ft.","15.00","ea.",0.25,"ea."
"Premium Door KB732, Antique White, French Lite Door","KB732, Antique White-ANWM, French Lite Door #7732F","6.65","sq.ft.","7.50","ea.",0.25,"ea.","10.25","sq.ft.","7.50","ea.",0.25,"ea."
"Premium Door DBQ, Antique White, Door","DBQ816, Antique White-ANWM, Door #816","6.65","sq.ft.","0.00","ea.",0.25,"ea.","9.20","sq.ft.","0.00","ea.",0.25,"ea."
"Premium Door DBQ, Antique White, Slab Drawer Front","DBQ816, Antique White-ANWM, Slab DF #816D","8.4","sq.ft.","0.00","ea.",0.25,"ea.","10.25","sq.ft.","0.00","ea.",0.25,"ea."
"Premium Door DBQ, Antique White, Cut for Glass Door","DBQ816, Antique White-ANWM, Cut for Glass #816G","6.65","sq.ft.","15.00","ea.",0.25,"ea.","9.20","sq.ft.","15.00","ea.",0.25,"ea."
"Premium Door DBQ, Antique White, French Lite Door","DBQ816, Antique White-ANWM, French Lite #816F","6.65","sq.ft.","7.50","ea.",0.25,"ea.","9.20","sq.ft.","7.50","ea.",0.25,"ea."
"Premium Door DR8, Antique White, Door","DR8, Antique White-ANWM, Door #785","6.65","sq.ft.","0.00","ea.",0.25,"ea.","9.20","sq.ft.","0.00","ea.",0.25,"ea."
"Premium Door DR8, Antique White, Routed Drawer Front","DR8, Antique White-ANWM, Routed DF #785R","6.65","sq.ft.","5.00","ea.",0.25,"ea.","10.25","sq.ft.","5.00","ea.",0.25,"ea."
"Premium Door DR8, Antique White, Slab Drawer Front","DR8, Antique White-ANWM, Slab DF #785D","8.40","sq.ft.","0.00","ea.",0.25,"ea.","10.25","sq.ft.","0.00","ea.",0.25,"ea."
"Premium Door DR8, Antique White, Cut for Glass Door","DR8, Antique White-ANWM, Cut for Glass #785G","6.65","sq.ft.","15.00","ea.",0.25,"ea.","9.20","sq.ft.","15.00","ea.",0.25,"ea."
"Premium Door DR8, Antique White, French Lite Door","DR8, Antique White-ANWM, French Lite Door #785F","6.65","sq.ft.","7.50","ea.",0.25,"ea.","9.20","sq.ft.","7.50","ea.",0.25,"ea."
"Premium Door DRS131, Antique White, Door","DRS131, Antique White-ANWM, Door #131","12.00","sq.ft.","0.00","ea.",0.25,"ea.","14.25","sq.ft.","0.00","ea.",0.25,"ea."
"Premium Door DRS131, Antique White, Routed Drawer Front","DRS131, Antique White-ANWM, Routed DF #131R","12.00","sq.ft.","5.00","ea.",0.25,"ea.","10.25","sq.ft.","10.00","ea.",0.25,"ea."
"Premium Door DRS131, Antique White, Slab Drawer Front","DRS131, Antique White-ANWM, Slab DF #131D","8.40","sq.ft.","0.00","ea.",0.25,"ea.","10.25","sq.ft.","0.00","ea.",0.25,"ea."
"Premium Door DRS131, Antique White, Cut for Glass Door","DRS131, Antique White-ANWM, Cut for Glass #131G","12.00","sq.ft.","15.00","ea.",0.25,"ea.","14.25","sq.ft.","15.00","ea.",0.25,"ea."
"Premium Door DRS131, Antique White, French Lite Door","DRS131, Antique White-ANWM, French Lite Door #131F","12.00","sq.ft.","7.50","ea.",0.25,"ea.","14.25","sq.ft.","7.50","ea.",0.25,"ea."
"Crown Molding, Antique White, 3-3/4""","Crown Molding, Antique White-ANWM, 3-3/4"", 423-8, #3003",15.6,"ea.","10.00","ea.",0.25,"ea.",17.30,"ea.","0.00","ea.",0.25,"ea."
"Crown Molding, Antique White, 4-1/2""","Crown Molding, Antique White-ANWM, 4-1/2"", 424-8, #3004",15.9,"ea.","10.00","ea.",0.25,"ea.",18.95,"ea.","0.00","ea.",0.25,"ea."
"Base Molding, Antique White, 2-1/2""","Base Molding, Antique White-ANWM, 2-1/2"", 426-8, #3007",10.05,"ea.","10.00","ea.",0.25,"ea.",11.15,"ea.","0.00","ea.",0.25,"ea."
"Scribe Molding, Antique White, 1""","Scribe Molding, Antique White-ANWM, 1"", 428-8, #3012",6.25,"ea.","10.00","ea.",0.25,"ea.",6.95,"ea.","0.00","ea.",0.25,"ea."
"Fluted Molding, Antique White, 3-1/2""","Fluted Molding, Antique White-ANWM, 3-1/2"", 431-8, #3013",19.75,"ea.","10.00","ea.",0.25,"ea.",21.95,"ea.","0.00","ea.",0.25,"ea."
"Filler A","Filler A, Antique White-ANWM, 471, #3250",9.00,"ea.","0.00","ea.",10.00,"ea.",10.00,"ea.","0.00","ea.",0.25,"ea."
"Filler B","Filler A, Antique White-ANWM, 472, #3251",9.00,"ea.","0.00","ea.",10.00,"ea.",10.00,"ea.","0.00","ea.",0.25,"ea."
"Filler C","Filler A, Antique White-ANWM, 469, #3255",9.00,"ea.","15.00","ea.",10.00,"ea.",10.00,"ea.","15.00","ea.",0.25,"ea."
"Premium Door JR7, Folkstone Grey, Door","JR7, Folkstone Grey-FGFM, Door #727","10.45","sq.ft.","0.00","ea.",0.25,"ea.","12.75","sq.ft.","0.00","ea.",0.25,"ea."
"Premium Door JR7, Folkstone Grey, Routed Drawer Front","JR7, Folkstone Grey-FGFM, Routed DF #727R","10.45","sq.ft.","5.00","ea.",0.25,"ea.","10.25","sq.ft.","10.00","ea.",0.25,"ea."
"Premium Door JR7, Folkstone Grey, Slab Drawer Front","JR7, Folkstone Grey-FGFM, Slab DF #727D","8.40","sq.ft.","0.00","ea.",0.25,"ea.","10.25","sq.ft.","0.00","ea.",0.25,"ea."
"Premium Door JR7, Folkstone Grey, Cut for Glass Door","JR7, Folkstone Grey-FGFM, Cut for Glass #727G","10.45","sq.ft.","15.00","ea.",0.25,"ea.","12.75","sq.ft.","15.00","ea.",0.25,"ea."
"Premium Door JR7, Folkstone Grey, French Lite Door","JR7, Folkstone Grey-FGFM, French Lite Door #727F","10.45","sq.ft.","7.50","ea.",0.25,"ea.","12.75","sq.ft.","7.50","ea.",0.25,"ea."
"Premium Door DR1, Folkstone Grey, Door","DR1, Folkstone Grey-FGFM, Door #112","12.00","sq.ft.","0.00","ea.",0.25,"ea.","14.25","sq.ft.","0.00","ea.",0.25,"ea."
"Premium Door DR1, Folkstone Grey, Routed Drawer Front","DR1, Folkstone Grey-FGFM, Routed DF #112R","12.00","sq.ft.","5.00","ea.",0.25,"ea.","10.25","sq.ft.","10.00","ea.",0.25,"ea."
"Premium Door DR1, Folkstone Grey, Slab Drawer Front","DR1, Folkstone Grey-FGFM, Slab DF #112D","8.40","sq.ft.","0.00","ea.",0.25,"ea.","10.25","sq.ft.","0.00","ea.",0.25,"ea."
"Premium Door DR1, Folkstone Grey, Cut for Glass Door","DR1, Folkstone Grey-FGFM, Cut for Glass #112G","12.00","sq.ft.","15.00","ea.",0.25,"ea.","14.25","sq.ft.","15.00","ea.",0.25,"ea."
"Premium Door DR1, Folkstone Grey, French Lite Door","DR1, Folkstone Grey-FGFM, French Lite #112F","12.00","sq.ft.","7.50","ea.",0.25,"ea.","14.25","sq.ft.","7.50","ea.",0.25,"ea."
"Premium Door AMS329, Folkstone Grey, Door","AMS329, Folkstone Grey-FGFM, Door #329","14.10","sq.ft.","0.00","ea.",0.25,"ea.","17.20","sq.ft.","0.00","ea.",0.25,"ea."
"Premium Door AMS329, Folkstone Grey, Routed Drawer Front","AMS329, Folkstone Grey-FGFM, Routed DF #329R","14.10","sq.ft.","5.00","ea.",0.25,"ea.","17.20","sq.ft.","15.00","ea.",0.25,"ea."
"Premium Door AMS329, Folkstone Grey, Slab Drawer Front","AMS329, Folkstone Grey-FGFM, Slab DF #329D","8.40","sq.ft.","0.00","ea.",0.25,"ea.","10.25","sq.ft.","0.00","ea.",0.25,"ea."
"Premium Door AMS329, Folkstone Grey, Cut for Glass Door","AMS329, Folkstone Grey-FGFMM, Cut for Glass #329G","14.10","sq.ft.","15.00","ea.",0.25,"ea.","17.20","sq.ft.","15.00","ea.",0.25,"ea."
"Premium Door AMS329, Folkstone Grey, French Lite Door","AMS329, Folkstone Grey-FGFM, French Lite Door #329F","14.10","sq.ft.","7.50","ea.",0.25,"ea.","17.20","sq.ft.","7.50","ea.",0.25,"ea."
"Premium Door KB732, Folkstone Grey, Door","KB732, Folkstone Grey-FGFM, Door #732","6.65","sq.ft.","0.00","ea.",0.25,"ea.","10.25","sq.ft.","0.00","ea.",0.25,"ea."
"Premium Door KB732, Folkstone Grey, Slab Drawer Front","KB732, Folkstone Grey-FGFM, Slab DF #732D","8.40","sq.ft.","0.00","ea.",0.25,"ea.","10.25","sq.ft.","0.00","ea.",0.25,"ea."
"Premium Door KB732, Folkstone Grey, Cut for Glass Door","KB732, Folkstone Grey-FGFM, Cut for Glass #732G","6.65","sq.ft.","15.00","ea.",0.25,"ea.","10.25","sq.ft.","15.00","ea.",0.25,"ea."
"Premium Door KB732, Folkstone Grey, French Lite Door","KB732, Folkstone Grey-FGFM, French Lite Door #7732F","6.65","sq.ft.","7.50","ea.",0.25,"ea.","10.25","sq.ft.","7.50","ea.",0.25,"ea."
