"Product Name","Product No","Product Active","Customer Part No","Product Category","Stocking Code","GL Account","Kanban Part","CutRite Product ID","Weight","QB Product Code","Shipping Method","Part Number","Nom W","Case Material","Nom H","Cabinet Material","Nom D","Cabinet Edgeband","Eng W","Cabinet Edgeband 2","Eng H","Door Material","Eng D","Door Edgeband","Product Sheet","Created Time","Website","Modified Time","Unit Price","Tax Class","Stock Type","Qty/Unit","Usage Unit","Reorder Level","Qty. in Stock","Qty. in Demand","Handler","Product Image","Description"
"NX Garage Tall Cabinet, 1 Door, 3 Adj Sh, ","SKU-102385","1","401.261.005.000","Not Accessible","","Cabinets","0","NX-T1-3AS","142.880","NX-T1-3AS-24x68x17-WIL","Not Accessible","NX-T1-3AS-24x68x17-WIL","24.000","3/4_WILD_APPLE-2S","68.000","WILD APPLE","17.000","3/4_AUTUMN_PVC","609.600","1_AUTUMN_PVC","1728.000","3/4_WILD_APPLE-2S","431.800","3/4_AUTUMN_PVC","","2010-06-18 13:23:51","","2010-06-21 14:20:20","145.44","","Inventory Assembly","1.00","Each","0","0.000","0","erichunt","",""
"NX Garage Tall Cabinet, 1 Door, 3 Adj Sh, ","SKU-102386","1","401.262.005.000","Not Accessible","","Cabinets","0","NX-T1-3AS","165.780","NX-T1-3AS-24x68x21-WIL","Not Accessible","NX-T1-3AS-24x68x21-WIL","24.000","3/4_WILD_APPLE-2S","68.000","WILD APPLE","21.000","3/4_AUTUMN_PVC","609.600","1_AUTUMN_PVC","1728.000","3/4_WILD_APPLE-2S","533.400","3/4_AUTUMN_PVC","","2010-06-18 13:23:52","","2010-06-21 14:20:20","153.50","","Inventory Assembly","1.00","Each","0","0.000","0","erichunt","",""
"NX Garage Tall Cabinet, 1 Door, 3 Adj Sh, ","SKU-102387","1","401.263.005.000","Not Accessible","","Cabinets","0","NX-T1-3AS","182.960","NX-T1-3AS-24x68x24-WIL","Not Accessible","NX-T1-3AS-24x68x24-WIL","24.000","3/4_WILD_APPLE-2S","68.000","WILD APPLE","24.000","3/4_AUTUMN_PVC","609.600","1_AUTUMN_PVC","1728.000","3/4_WILD_APPLE-2S","609.600","3/4_AUTUMN_PVC","","2010-06-18 13:23:52","","2010-06-21 14:20:21","160.37","","Inventory Assembly","1.00","Each","0","0.000","0","erichunt","",""
"NX Garage Tall Cabinet, 1 Door, 3 Adj Sh, ","SKU-102388","1","401.271.005.000","Not Accessible","","Cabinets","0","NX-T1-3AS","152.970","NX-T1-3AS-24x76x17-WIL","Not Accessible","NX-T1-3AS-24x76x17-WIL","24.000","3/4_WILD_APPLE-2S","76.000","WILD APPLE","17.000","3/4_AUTUMN_PVC","609.600","1_AUTUMN_PVC","1920.000","3/4_WILD_APPLE-2S","431.800","3/4_AUTUMN_PVC","","2010-06-18 13:23:52","","2010-06-21 14:20:21","151.35","","Inventory Assembly","1.00","Each","0","0.000","0","erichunt","",""
"NX Garage Tall Cabinet, 1 Door, 3 Adj Sh, ","SKU-102389","1","401.272.005.000","Not Accessible","","Cabinets","0","NX-T1-3AS","177.080","NX-T1-3AS-24x76x21-WIL","Not Accessible","NX-T1-3AS-24x76x21-WIL","24.000","3/4_WILD_APPLE-2S","76.000","WILD APPLE","21.000","3/4_AUTUMN_PVC","609.600","1_AUTUMN_PVC","1920.000","3/4_WILD_APPLE-2S","533.400","3/4_AUTUMN_PVC","","2010-06-18 13:23:52","","2010-06-21 14:20:21","162.20","","Inventory Assembly","1.00","Each","0","0.000","0","erichunt","",""
"NX Garage Tall Cabinet, 1 Door, 3 Adj Sh, ","SKU-102390","1","401.273.005.000","Not Accessible","","Cabinets","0","NX-T1-3AS","195.160","NX-T1-3AS-24x76x24-WIL","Not Accessible","NX-T1-3AS-24x76x24-WIL","24.000","3/4_WILD_APPLE-2S","76.000","WILD APPLE","24.000","3/4_AUTUMN_PVC","609.600","1_AUTUMN_PVC","1920.000","3/4_WILD_APPLE-2S","609.600","3/4_AUTUMN_PVC","","2010-06-18 13:23:53","","2010-06-21 14:20:22","169.15","","Inventory Assembly","1.00","Each","0","0.000","0","erichunt","",""
"NX Garage Tall Cabinet, 1 Door, 3 Adj Sh, ","SKU-102391","1","401.281.005.000","Not Accessible","","Cabinets","0","NX-T1-3AS","163.070","NX-T1-3AS-24x83x17-WIL","Not Accessible","NX-T1-3AS-24x83x17-WIL","24.000","3/4_WILD_APPLE-2S","83.000","WILD APPLE","17.000","3/4_AUTUMN_PVC","609.600","1_AUTUMN_PVC","2112.000","3/4_WILD_APPLE-2S","431.800","3/4_AUTUMN_PVC","","2010-06-18 13:23:53","","2010-06-21 14:20:22","162.47","","Inventory Assembly","1.00","Each","0","0.000","0","erichunt","",""
"NX Garage Tall Cabinet, 1 Door, 3 Adj Sh, ","SKU-102392","1","401.282.005.000","Not Accessible","","Cabinets","0","NX-T1-3AS","188.380","NX-T1-3AS-24x83x21-WIL","Not Accessible","NX-T1-3AS-24x83x21-WIL","24.000","3/4_WILD_APPLE-2S","83.000","WILD APPLE","21.000","3/4_AUTUMN_PVC","609.600","1_AUTUMN_PVC","2112.000","3/4_WILD_APPLE-2S","533.400","3/4_AUTUMN_PVC","","2010-06-18 13:23:53","","2010-06-21 14:20:22","170.91","","Inventory Assembly","1.00","Each","0","0.000","0","erichunt","",""
"NX Garage Tall Cabinet, 1 Door, 3 Adj Sh, ","SKU-102393","1","401.283.005.000","Not Accessible","","Cabinets","0","NX-T1-3AS","207.360","NX-T1-3AS-24x83x24-WIL","Not Accessible","NX-T1-3AS-24x83x24-WIL","24.000","3/4_WILD_APPLE-2S","83.000","WILD APPLE","24.000","3/4_AUTUMN_PVC","609.600","1_AUTUMN_PVC","2112.000","3/4_WILD_APPLE-2S","609.600","3/4_AUTUMN_PVC","","2010-06-18 13:23:53","","2010-06-21 14:20:22","177.93","","Inventory Assembly","1.00","Each","0","0.000","0","erichunt","",""
"NX Garage Tall Cabinet, 1 Door, 3 Adj Sh, ","SKU-102394","1","401.291.005.000","Not Accessible","","Cabinets","0","NX-T1-3AS","173.170","NX-T1-3AS-24x91x17-WIL","Not Accessible","NX-T1-3AS-24x91x17-WIL","24.000","3/4_WILD_APPLE-2S","91.000","WILD APPLE","17.000","3/4_AUTUMN_PVC","609.600","1_AUTUMN_PVC","2304.000","3/4_WILD_APPLE-2S","431.800","3/4_AUTUMN_PVC","","2010-06-18 13:23:54","","2010-06-21 14:20:23","169.33","","Inventory Assembly","1.00","Each","0","0.000","0","erichunt","",""
"NX Garage Tall Cabinet, 1 Door, 3 Adj Sh, ","SKU-102395","1","401.292.005.000","Not Accessible","","Cabinets","0","NX-T1-3AS","199.680","NX-T1-3AS-24x91x21-WIL","Not Accessible","NX-T1-3AS-24x91x21-WIL","24.000","3/4_WILD_APPLE-2S","91.000","WILD APPLE","21.000","3/4_AUTUMN_PVC","609.600","1_AUTUMN_PVC","2304.000","3/4_WILD_APPLE-2S","533.400","3/4_AUTUMN_PVC","","2010-06-18 13:23:54","","2010-06-21 14:20:23","177.37","","Inventory Assembly","1.00","Each","0","0.000","0","erichunt","",""
